user_id,item_id
102767670,107153903
128289511,325246588
10765825,82335787
97181356,336944188
72181751,131270804
25515014,56338873
17048049,40972197
109613455,45219127
74405788,194400529
111768420,162388880
110007607,21404978
98798352,258583
69410546,140000262
131565054,40605970
11119577,174016012
18245913,38633262
59691950,106803580
120305341,276935287
36738292,257688780
125316855,203391190
28694278,226679472
107102683,86871280
128289511,116663298
118635428,197757650
95721550,81461837
120305341,286385973
14735918,345868467
33956784,322148210
51013339,354432714
7956207,304278269
110710438,361118087
111909694,43051954
70012916,285057568
125316855,325188710
100078685,326090192
68285359,184332395
125316855,248766313
42031986,162723604
111695487,41730375
51013339,116437764
74405788,141007108
32831611,226655923
90378059,29378157
24029586,75670232
44503140,32648234
27840504,260826532
31850208,284272461
111768420,321907054
42982005,105022957
116723232,302182482
59567091,365008368
100968525,133190814
29476135,259102298
2272401,176840086
125227357,31521854
96356617,137358685
87942719,281019076
6079735,244123960
2272401,114102982
52610714,188439341
111850848,261481160
38915660,130722563
140423268,124641339
120305341,126007808
124992372,41724156
38915660,84314559
98367095,293584587
87942719,390180483
142073213,116399786
138390959,66840432
142073213,203974062
22125304,262490997
24029586,363710908
68285359,337314820
140423268,2668081
83954147,85299256
93383888,55474770
96356617,226651503
28462928,377430663
3162324,195950290
15503033,368200234
35205411,130148210
125871904,144207739
93383888,130301922
217996,16049174
115299510,185037607
98832840,224531143
54691351,252673709
36738292,153361374
129141421,366981656
33245877,74118007
124992372,366121078
101250285,395074329
49003690,147440856
111768420,360580782
70503301,99972412
134424507,49356704
115757977,19594486
45519798,13000660
109613455,112029869
189833,81769723
142376113,191655046
70012916,204680146
96343297,386835749
138337202,79353751
110007607,78138380
45616833,265402466
7277182,70948976
96356617,71754762
109179391,138111309
87942719,333637446
14735918,295874191
125316855,191338193
6079735,319890565
114493153,241747167
65305165,14347060
111768420,149553077
98832840,92363433
27840504,310623777
109016093,398105124
28086954,83719567
124992372,85759904
127641352,135451478
135934881,348605103
98367095,269901564
45069561,400569854
128289511,309854267
124063835,136052002
45519798,295918786
54691351,95106854
118635428,80226568
3162324,353427833
