user_id,item_id
10765825,82335787
78354424,23832645
109613455,45219127
110007607,21404978
94489517,85794087
131565054,40605970
59691950,106803580
120305341,276935287
36738292,257688780
90720609,278506941
95721550,81461837
120305341,166385385
120305341,286385973
104732482,135022821
120305341,49718239
51013339,354432714
7956207,304278269
70012916,285057568
100078685,326090192
68285359,184332395
51013339,116437764
32831611,226655923
27840504,260826532
109005178,363716944
100968525,133190814
2272401,176840086
125227357,31521854
96356617,137358685
6079735,244123960
2272401,114102982
12730285,132644194
140423268,124641339
120305341,126007808
138390959,66840432
28975138,259648257
68285359,337314820
35941637,46610465
140423268,2668081
83954147,85299256
96356617,226651503
35205411,130148210
125871904,144207739
12730285,190245564
36738292,153361374
33245877,74118007
124992372,366121078
49003690,147440856
134424507,49356704
109613455,112029869
189833,81769723
70012916,204680146
110007607,78138380
96356617,71754762
6079735,319890565
65305165,14347060
27840504,310623777
109016093,398105124
28086954,83719567
135934881,348605103
124063835,136052002
131254719,160850405
125871904,12993091
17264043,224523986
84517694,394641126
110007607,145643113
92454730,403415892
87229516,279696217
70012916,21616363
137413051,39995204
96356617,170483728
12730285,195166440
96356617,229216553
116264632,152402987
36738292,397619999
120305341,66795195
72703245,313891623
63823409,337616433
22509276,220436274
19338057,311674876
138390959,145668358
72295163,2949500
12796196,343575787
95721550,170803715
12730285,185287499
130499060,224967777
120305341,203040432
83954147,188978106
90720609,131561111
24029586,321321245
76352172,46835546
100397503,43249679
133680584,139267311
109597580,181843339
109613455,292386589
124063835,62964370
94489517,176058735
96356617,353172572
100968525,312979257
72820368,307062641
35941637,288162603
59779793,7754590
6064746,215043338
76352172,192537350
96356617,251915100
109613455,95377573
76352172,128907575
48505064,340649029
101899044,98056421
83954147,208599979
120305341,362441436
24029586,199653348
189833,2911237
131785898,59575160
2896763,340589263
36110156,132533259
128289511,280420675
120305341,22022092
83954147,256634084
118095983,104821990
95721550,341556925
109613455,82540475
28948171,265400515
10765825,86926990
120305341,52507190
120305341,174897531
59659116,55639479
120305341,74438920
9996155,48340683
72820368,111511724
92020710,153322132
72295163,110324554
125871904,317736613
134479240,296583757
120305341,397652066
94489517,385466119
7956207,385682890
15171548,373541307
83954147,145367127
120305341,289899078
83954147,241142875
36738292,88009290
99418963,304504864
35941637,192203766
128050388,78848468
81960712,211190134
104732482,108063054
36738292,197587721
48505064,185706123
94489517,307885486
120305341,95926279
141187200,124812286
2896763,190228780
106937011,345411809
33797179,315600202
19338057,384399922
104014368,106445762
109613455,194618301
83954147,77238010
120305341,220359325
65305165,293797051
6079735,368246578
40364499,354098170
140423268,318897792
102825286,150511996
83954147,145277061
104732482,302010164
39980640,257987646
107857272,244792676
12730285,327710848
47106355,162254943
45660059,167822567
12730285,284444704
125871904,255729783
42085231,305785183
134424507,215125746
109823995,278232176
12730285,29313473
27840504,345918237
2910556,219769537
138390959,120085259
61664752,205119792
128289511,101744589
9860181,250601770
22509276,277344590
70012916,156842239
131785898,247504359
120305341,98445367
12730285,5490832
121148622,211294891
44908934,392172016
104732482,248664568
96356617,388933229
140423268,399676741
88643555,19018708
10765825,395040087
101748138,171514569
2910556,279402340
75500533,382113388
135565094,105933981
35941637,367280754
10765825,356227492
120305341,292894788
12730285,205637622
95721550,263271804
28948171,99730977
101748138,198274456
122081386,79728788
76352172,118448785
94723090,46400249
109613455,260459828
109613455,183245266
189833,80742453
112976136,80796732
98832840,325230723
2896763,314552636
33245877,99150223
128289511,6237807
36738292,131009630
98832840,97069558
56279008,19175880
83954147,68510732
12730285,106681288
138390959,144624684
88643555,133124112
91301440,38060008
12730285,338787885
36738292,173170152
119990802,333028913
45159377,74856859
72820368,6975016
27840504,75220272
5460550,252482360
72703245,264105416
131254719,374992616
96356617,399031962
90720609,119148867
116232438,30589824
104732482,198559258
8886191,330613934
90720609,349517971
30368071,131240872
56279008,232655414
2910556,69339912
19338057,377086296
45519798,366026512
124063835,196267944
120305341,377607849
22005280,244744584
92454730,239403545
93795297,303205878
120305341,127861086
79403111,322957624
36110156,320525658
61664752,79083994
40364499,26729824
65305165,379343749
104732482,265023318
29420856,400889048
140423268,171936003
120305341,26257029
109597580,228234743
116527079,399672601
120305341,189099117
119627646,377958748
101748138,93130711
136197283,108758604
125577545,27708674
35941637,157984068
5460550,184460505
131254719,115842631
51013339,210290989
140423268,181887111
107857272,160497583
96356617,347772482
29420856,95675120
